Item_Code,Week,Learning_Topic,Learning_Objective,Full_Question,Correct_Answer,Answer_Rationale,Item_Difficulty
Q1_1,,,,"2. What movements can Marty's hip motor perform?
a) move the entire leg
b) rotate the lower leg at the knee
c) bend the knee
d) raise and lower the arm",VERIFY,,
Q2_1,Week 5,,Sensors,"1. 'Marty the robot has an infrared (IR) sensor in its foot. What is the primary job of this sensor?
a) To help the robot hear and understand voice commands.
b) To detect obstacles directly in front of its feet or the edge of a surface.
c) To run the program that tells the robot how to move.
d) To move the motors that make the robot's legs walk.",VERIFY,,
Q3_1,,,,"2. Which of the following tasks can a sensor not perform?
a) Detect if an object is in front of the sensor.
b) Measure the brightness of the light in a room.
c) Move a leg to make something move.
d) Sense if the sensors is being tilted or picked up.",VERIFY,,
Q4_1,Week 4,,Microcontrollers,"1. What is the main function of this component on the Arduino Nano ESP32?
a) It is the main processor (""brain"") that executes the program and gives the board Wi-Fi and Bluetooth capabilities.
b) It is the chip that converts the 5V voltage from the USB port for the board.
c) It is a sensor that measures the board's ambient temperature.
d) It is the translator chip that is exclusively responsible for USB communication.",VERIFY,,
Q5_1,,,,"2. What is the main role of a microcontroller (like an Arduino) in a robot?
a) To run a specific, relatively simple program, such as controlling motors or reading sensors.
b) To run complex Artificial Intelligence, like a Large Language Model (LLM).
c) To move the robot's legs and arms.
d) To provide a software library of pre-made functions for programming.",VERIFY,,
DA09,Week 2,AI,What is AI,"What characteristics differentiate AI from previous IT applications?
a) Learning ability and independence
b) Ability to process data and ease of use
c) Speed and ability to process data
d) Location-independent access and data security",a,Learning ability and independence - key AI characteristic,"DA09: -1.30 (easy)
"
CA12,,,What is not AI,"Which of the following examples is NOT AI?
a) Style change filters in applications such as Prisma, which use a photo as a starting point and create variants in different art styles (impressionist, cubist, etc.).
b) A music recommendation system such as Spotify recommends music based on the user's listening behavior.
c) Big data storage solutions that store large amounts of data (e.g., images or videos) and can play them for a large number of users at the same time.
d) Applications that can reformulate a text into different language styles.",c,Big data storage is NOT AI (just data management),CA12: -1.40 (easy)
CI29,,Machine learning,Outcomes of Machine Learning,"An app convert the style of your face to a Van Gogh painting. What is the main task of this AI?
a) Generation
b) Action
c) Classification
d) Clustering",a,Style conversion = Generation task,CI29: -1.24 (easy)
CI31,,,"Supervised, unsupervised, and reinforcement learning","A machine is given a dataset of images of flowers with the identification of whether the image is of a tulip or not tulip and is trained to identify when an image cointains a tulip. What type of machine learning is this?
a) unsupervised learning
b) supervised learning
c) reinforcement learning
d) semi-supervised learning",b,Labeled dataset = Supervised learning,CI31: -0.62 (moderate)
UA19,,,,"What is a central feature of reinforcement learning models?
a) The model performs actions and learns through a trial-and-error method.
b) It works in interaction with the training environment.
c) The model makes decisions based on previous experience and current states.
d) The model requires a labeled data set for training.",a,Trial-and-error = core of reinforcement learning,UA19: 0.23 (moderate)
GA10,Week 2,LLMs and generative AI,Prompt engineering,"What is a ""prompt""?
a) A short text given as input to the large language model can be used to control the model's output in many ways.
b) A short text used to train the large language model.
c) A pre-trained generative AI model that serves as a starting point for fine-tuning and customizing the generation of specific content types.
d) A long section of text used to debug the large language model.",a,Prompt = input text to control LLM output,GA10: -1.45 (easy)
Q12_1,,,LLM design,"1. When designing a prompt for an LLM, which of the following instructions could produce a worse response?
a) ""Act as an expert historian and summarize the main causes of the French Revolution in 100 words.""
b) ""Write a short, funny poem about a robot that is learning to cook.""
c) ""Tell me about science.""
d) ""Based on the attached document, identify three key risks and one opportunity.""",VERIFY,,
GA13,,,Generative AI,"Which of the following best describes how generative AI works?
a) Generative AI randomly creates new content without reference to existing data.
b) Generative AI uses rules to create completely original and unique content.
c) Generative AI determines the relationship between data sets and classifies data according to the existing data sets.
d) Generative AI learns from existing data and creates new content resembling learned patterns.",d,GenAI learns from data and creates similar patterns,GA13: -1.73 (easy)
EA05,Week 3,,Biases,"Two people use a voice assistant to search for career opportunities in technology. While person 1 (a young German woman) receives numerous job offers, including management positions and support programs, person 2 (a young man with a non-European background) mainly receives information on entry-level jobs and further training. What ethical dilemma is illustrated by this scenario?
a) The algorithm has automatically assumed less interest in higher positions based on the origin of person 2.
b) The algorithm could reproduce unconscious prejudices by providing person 1 and person 2 with different information based on gender and origin.
c) The algorithm provides different information to protect users due to security concerns.
d) The algorithm was programmed to provide optimal results only for a certain user group, leading to discrimination.",b,Unconscious prejudices = algorithmic bias,EA05: -1.28 (easy)
GA04,,Limitations of AI,Halucinations,"Hallucinations in AI models refer to nonsensical or grammatically incorrect words or sentences generated by the model. Which of the following factors probably does not cause hallucinations?
a) The model is trained using noisy or erroneous data.
b) The model is trained with too much data.
c) The model is not trained with enough data.
d) The model is not given enough context.",b,Too much data does NOT cause hallucinations,GA04: 1.01 (difficult)
Q16_1,Week 4,Programming,"Commands, parameters, variables, functions, libraries","1. In programming, which of these is the best description of a command?
a) A single, basic command, like ""turn left"".
b) A collection of all possible commands you can use.
c) A sequence of commands, saved so it can be easily run again later.
d) A variable that stores a single piece of information, like a number.",VERIFY,,
Q17_1,,,Loops,"2. You want a robot to blink an LED light exactly ten times. Which programming concept is the most efficient way to do this?
a) A loop
b) A variable
c) An if-else statement
d) A function",VERIFY,,
Q18_1,,,If-Else,"3. Look at the following C++ code snippet. Under which condition will the turn_on_light() command be executed? if (room == ""dark"") { turn_on_light(); } else { // do nothing }
a) It will always be executed.
b) Only when the value of room is ""dark"".
c) Only when the value of room is not ""dark"".
d) It will never be executed.",VERIFY,,
Q19_1,,,C++,"4. A programmer wants Marty the robot to walk forward 2 steps and then turn right 90 degrees. Assuming the C++ commands are marty.walk(steps); and marty.turn(""direction"", degrees);, which code snippet will correctly execute this sequence?
a) 
b) 
c) 
d) ",VERIFY,,
GA16,Week 6,AI ethics,When to use and not use AI (part 1),"A company decides to use AI instead of human voice actors for the voice recordings of a movie. What ethical problem could arise in terms of social responsibility?
a) AI might not provide the desired emotional expression.
b) Using AI could potentially put a human out of work.
c) Viewers might have problems accepting the AI voice as authentic.
d) AI takes longer to produce than human speakers.",b,Replacing workers = social responsibility concern,GA16: -1.01 (easy)
EA11,,,,"What risks and challenges does using AI solutions entail?
a) AI models, if left unsupervised, can spontaneously mutate and evolve into computer viruses.
b) In a social context, using confidential data to train and operate AI systems is completely unobjectionable.
c) Health insurance companies do not yet support using AI systems.
d) The power consumption for training AI systems is very high.",d,Power consumption is a real AI risk,EA11: -0.66 (moderate)
