Item_Code,Week,Topic,Objective,Question,Correct_Answer,Rationale,Difficulty,Source
DA09,Week 2,AI,What is AI,"DA09: What characteristics differentiate AI from previous IT applications?
a) Learning ability and independence
b) Ability to process data and ease of use
c) Speed and ability to process data
d) Location-independent access and data security
AICOS, Markus 2025",a,AI differs from traditional IT by its ability to learn and operate independently,"DA09: -1.30 (easy)
",
GA10,Week 2,LLMs and generative AI,Prompt engineering,"GA10: What is a ""prompt""?
a) A short text given as input to the large language model can be used to control the model's output in many ways.
b) A short text used to train the large language model.
c) A pre-trained generative AI model that serves as a starting point for fine-tuning and customizing the generation of specific content types.
d) A long section of text used to debug the large language model.
AICOS, Markus 2025",a,A prompt is the input text used to guide an LLM's output,GA10: -1.45 (easy),"AICOS; Markus, 2025"
EA05,Week 3,,Biases,"EA05: Two people use a voice assistant to search for career opportunities in technology. While person 1 (a young German woman) receives numerous job offers, including management positions and support programs, person 2 (a young man with a non-European background) mainly receives information on entry-level jobs and further training. What ethical dilemma is illustrated by this scenario?
a) The algorithm has automatically assumed less interest in higher positions based on the origin of person 2.
b) The algorithm could reproduce unconscious prejudices by providing person 1 and person 2 with different information based on gender and origin.
c) The algorithm provides different information to protect users due to security concerns.
d) The algorithm was programmed to provide optimal results only for a certain user group, leading to discrimination.
AICOS; Markus 2025",b,Different outcomes based on gender/origin suggests unconscious bias in algorithm,EA05: -1.28 (easy),"AICOS; Markus, 2025"
PR1,Week 4,Programming,"Commands, parameters, variables, functions, libraries","1. In programming, which of these is the best description of a command?
a) A single, basic command, like ""turn left"".
b) A collection of all possible commands you can use.
c) A sequence of commands, saved so it can be easily run again later.
d) A variable that stores a single piece of information, like a number.",a,"A command is a single instruction, like ""turn left""",,added by author
GA16,Week 6,AI ethics,When to use and not use AI (part 1),"GA16: A company decides to use AI instead of human voice actors for the voice recordings of a movie. What ethical problem could arise in terms of social responsibility?
a) AI might not provide the desired emotional expression.
b) Using AI could potentially put a human out of work.
c) Viewers might have problems accepting the AI voice as authentic.
d) AI takes longer to produce than human speakers.",b,Replacing human workers with AI raises social responsibility concerns about employment,GA16: -1.01 (easy),"AICOS; Markus, 2025"
CA12,,,What is not AI,"CA12: Which of the following examples is NOT AI?
a) Style change filters in applications such as Prisma, which use a photo as a starting point and create variants in different art styles (impressionist, cubist, etc.).
b) A music recommendation system such as Spotify recommends music based on the user's listening behavior.
c) Big data storage solutions that store large amounts of data (e.g., images or videos) and can play them for a large number of users at the same time.
d) Applications that can reformulate a text into different language styles.
(AICOS, Markus 2025)",c,"Big data storage is data management, not AI (no learning or decision-making)",CA12: -1.40 (easy),
CI29,,Machine learning,Outcomes of Machine Learning,"CI29: An app convert the style of your face to a Van Gogh painting. What is the main task of this AI?
a) Generation
b) Action
c) Classification
d) Clustering",a,Converting face to art style is generating new content based on input,CI29: -1.24 (easy),"AI-CHI, Zhang 2025"
CI31,,,"Supervised, unsupervised, and reinforcement learning","CI31: A machine is given a dataset of images of flowers with the identification of whether the image is of a tulip or not tulip and is trained to identify when an image cointains a tulip. What type of machine learning is this?
a) unsupervised learning
b) supervised learning
c) reinforcement learning
d) semi-supervised learning",b,Labeled data (tulip/not tulip) is the hallmark of supervised learning,CI31: -0.62 (moderate),"AI-CHI, Zhang 2025"
EA11,,,,"EA11: What risks and challenges does using AI solutions entail?
a) AI models, if left unsupervised, can spontaneously mutate and evolve into computer viruses.
b) In a social context, using confidential data to train and operate AI systems is completely unobjectionable.
c) Health insurance companies do not yet support using AI systems.
d) The power consumption for training AI systems is very high.
AICOS, Markus 2025 -> answer option a adapted because also correct.",d,AI training requires massive computational resources and energy consumption,EA11: -0.66 (moderate),"AICOS; Markus, 2025"
GA04,,Limitations of AI,Halucinations,"GA04: Hallucinations in AI models refer to nonsensical or grammatically incorrect words or sentences generated by the model. Which of the following factors probably does not cause hallucinations?
a) The model is trained using noisy or erroneous data.
b) The model is trained with too much data.
c) The model is not trained with enough data.
d) The model is not given enough context.
AICOS, Markus 2025",b,More data generally helps (reduces hallucinations); too little data or noisy data cause hallucinations,GA04: 1.01 (difficult),"AICOS; Markus, 2025"
GA13,,,Generative AI,"GA13: Which of the following best describes how generative AI works?
a) Generative AI randomly creates new content without reference to existing data.
b) Generative AI uses rules to create completely original and unique content.
c) Generative AI determines the relationship between data sets and classifies data according to the existing data sets.
d) Generative AI learns from existing data and creates new content resembling learned patterns.
AICOS, Markus 2025",d,Generative AI learns patterns from training data and creates similar content,GA13: -1.73 (easy),"AICOS; Markus, 2025"
UA19,,,,"UA19: What is a central feature of reinforcement learning models?
a) The model performs actions and learns through a trial-and-error method.
b) It works in interaction with the training environment.
c) The model makes decisions based on previous experience and current states.
d) The model requires a labeled data set for training.",a,Reinforcement learning's core feature is trial-and-error through environment interaction,UA19: 0.23 (moderate),"AICOS; Markus, 2025"
