Curriculum,Target_Age_Range,Suitability_14_15,Duration_Hours,Format,Key_Topics,Hands_On_Activities,Ethics_Focus,Technical_Depth,Language_Options,Assessment_Methods,Teacher_Support,Real_World_Applications,Student_Engagement,Accessibility,Cost,Strengths,Weaknesses,Suitability_Score
AI in My Life (15-16 year olds),15-16 years,Excellent,Workshop format (2-4 hours),Workshop,"AI Ethics, Privacy, Real-world applications",Yes - Workshop activities,High,Medium,English,Workshop evaluation,Workshop materials,High,High,Medium,Unknown,"Age-specific, ethics focus, practical","Limited scope, single workshop",5
Common Sense Media (Grades 6-12),11-18 years (Grades 6-12),Good,1-2 hours per lesson,Lesson slides,"What is AI, Digital literacy",Limited - Discussion based,Medium,Low,English,Discussion participation,Lesson plans,Medium,Medium,High,Free,"Simple, accessible, media literacy","Basic level, limited depth",4
Georgia AI4GA (High School),14-18 years (High School),Excellent,Full semester course,Comprehensive curriculum,"5 Big Ideas, Autonomous systems, Language processing, Decision making",Yes - Extensive projects,Medium,High,English,"Projects, case studies",Comprehensive guides,High,High,Medium,Free,"Comprehensive, hands-on, structured","Complex, requires technical background",5
Berlin KI-Aufträge (Secondary School),14-18 years (Secondary),Excellent,Mission-based (flexible),Interactive missions,"AI tool exploration, Character conversations, Practical testing",Yes - Tool exploration,Low,Medium,German (English translation),Mission completion,Mission instructions,High,Very High,High,Free,"Interactive, engaging, practical","German-focused, limited English",5
ENARIS (Secondary Education),14-18 years (Secondary),Excellent,Modular (flexible),Web platform + exercises,"AI Basics, Computer Vision, NLP, Ethics, Neural Networks",Yes - Interactive exercises,High,High,"German, English, Hungarian",Exercise completion,Teacher resources,High,High,High,Free,"Technical depth, multilingual, modular",Technical complexity,5
aiEDU (Grades 6-12),11-18 years (Grades 6-12),Good,Flexible modules,Project-based modules,"AI readiness, Project-based learning, Deepfakes, ChatGPT",Yes - Project dashboards,High,Medium,English,Project evaluation,"Flex plans, guides",High,High,High,Free,"Project-based, comprehensive, flexible",May be overwhelming,4
AI4K12 (K-12),5-18 years (K-12),Moderate,Age-appropriate segments,Educational materials,"5 Big Ideas, Intelligent assistants",Yes - Activity guides,Low,Low-Medium,English,Activity completion,Educational materials,Medium,Medium,High,Free,"Age-appropriate, foundational",Too basic for 14-15 year olds,3
MIT AI Ethics (Advanced High School),16-18 years (Advanced HS),Limited,Full semester,Ethics curriculum,"Algorithmic bias, Ethics matrices, Machine learning",Yes - Ethical analysis,Very High,High,English,Ethical analysis,Curriculum materials,Medium,Medium,Low,Free,"Ethics focus, critical thinking",Too advanced for most 14-15 year olds,2
Duke Learning Innovation (Higher Ed),18+ years (Higher Ed),Not Suitable,Full semester,Critical analysis,Critical questions about AI impact,No - Discussion based,Very High,Medium,English,Critical analysis,Instructor guides,High,Low,Low,Free,"Critical analysis, questioning",Not age-appropriate,1
AI Pedagogy Project (Higher Ed),18+ years (Higher Ed),Not Suitable,Flexible,Pedagogical resources,"Socratic questioning, AI journalism",Yes - Interactive questioning,High,Low,English,Discussion participation,Pedagogical resources,Medium,Medium,Medium,Free,"Pedagogical approach, questioning",Not age-appropriate,1
AI Adapt (General Public),All ages,Moderate,Modular,Modular themes,"AI and careers, Ethics, Future of work",Yes - Practical applications,High,Medium,English,Module completion,Resource materials,High,Medium,High,Unknown,"Career-focused, practical",Not age-specific,3
