Week,Concept,Concreteness_Level,Repetition_N_Weeks,Time_Per_Concept_Min,Has_Assessment,N_Assessment_Items,Item_Codes,Question_Stem,Option_A,Option_B,Option_C,Option_D,Correct_Answer_Verified,Answer_Rationale,Item_Difficulty
1,Social robots definition,2,2,12.0,False,0,,,,,,,,,
1,Robot types,2,1,12.0,False,0,,,,,,,,,
1,Marty introduction,2,3,12.0,False,0,,,,,,,,,
1,"Robot components (motors, sensors, computer)",5,1,12.0,False,0,,,,,,,,,
1,Robot parts identification,5,1,12.0,False,0,,,,,,,,,
2,AI definition,2,5,16.2,True,3,"CA12, GA10, GA13",Which of the following examples is NOT AI?,"Style change filters in applications such as Prisma, which use a photo as a starting point and create variants in different art styles (impressionist, cubist, etc.).",A music recommendation system such as Spotify recommends music based on the user's listening behavior.,"Big data storage solutions that store large amounts of data (e.g., images or videos) and can play them for a large number of users at the same time.",Applications that can reformulate a text into different language styles.,"c, a, d",Big data storage is NOT AI (just data management),CA12: -1.40 (easy)
2,AI vs non-AI,2,5,16.2,True,3,"CA12, GA10, GA13",Which of the following examples is NOT AI?,"Style change filters in applications such as Prisma, which use a photo as a starting point and create variants in different art styles (impressionist, cubist, etc.).",A music recommendation system such as Spotify recommends music based on the user's listening behavior.,"Big data storage solutions that store large amounts of data (e.g., images or videos) and can play them for a large number of users at the same time.",Applications that can reformulate a text into different language styles.,"c, a, d",Big data storage is NOT AI (just data management),CA12: -1.40 (easy)
2,"ML types (supervised, unsupervised, reinforcement)",2,1,16.2,False,0,,,,,,,,,
2,Classification vs Generation,2,1,16.2,False,0,,,,,,,,,
2,LLM introduction,2,3,16.2,True,1,GA10,"What is a ""prompt""?",A short text given as input to the large language model can be used to control the model's output in many ways.,A short text used to train the large language model.,A pre-trained generative AI model that serves as a starting point for fine-tuning and customizing the generation of specific content types.,A long section of text used to debug the large language model.,a,Prompt = input text to control LLM output,GA10: -1.45 (easy)
2,LLM limitations,2,3,16.2,True,1,GA10,"What is a ""prompt""?",A short text given as input to the large language model can be used to control the model's output in many ways.,A short text used to train the large language model.,A pre-trained generative AI model that serves as a starting point for fine-tuning and customizing the generation of specific content types.,A long section of text used to debug the large language model.,a,Prompt = input text to control LLM output,GA10: -1.45 (easy)
2,LLM uses,3,3,16.2,True,1,GA10,"What is a ""prompt""?",A short text given as input to the large language model can be used to control the model's output in many ways.,A short text used to train the large language model.,A pre-trained generative AI model that serves as a starting point for fine-tuning and customizing the generation of specific content types.,A long section of text used to debug the large language model.,a,Prompt = input text to control LLM output,GA10: -1.45 (easy)
2,Prompt engineering,2,2,16.2,True,1,GA10,"What is a ""prompt""?",A short text given as input to the large language model can be used to control the model's output in many ways.,A short text used to train the large language model.,A pre-trained generative AI model that serves as a starting point for fine-tuning and customizing the generation of specific content types.,A long section of text used to debug the large language model.,a,Prompt = input text to control LLM output,GA10: -1.45 (easy)
3,LLM architecture,2,3,14.4,True,1,EA05,"Two people use a voice assistant to search for career opportunities in technology. While person 1 (a young German woman) receives numerous job offers, including management positions and support programs, person 2 (a young man with a non-European background) mainly receives information on entry-level jobs and further training. What ethical dilemma is illustrated by this scenario?",The algorithm has automatically assumed less interest in higher positions based on the origin of person 2.,The algorithm could reproduce unconscious prejudices by providing person 1 and person 2 with different information based on gender and origin.,The algorithm provides different information to protect users due to security concerns.,"The algorithm was programmed to provide optimal results only for a certain user group, leading to discrimination.",b,Unconscious prejudices = algorithmic bias,EA05: -1.28 (easy)
3,How LLMs work (3 stages),2,2,14.4,True,1,EA05,"Two people use a voice assistant to search for career opportunities in technology. While person 1 (a young German woman) receives numerous job offers, including management positions and support programs, person 2 (a young man with a non-European background) mainly receives information on entry-level jobs and further training. What ethical dilemma is illustrated by this scenario?",The algorithm has automatically assumed less interest in higher positions based on the origin of person 2.,The algorithm could reproduce unconscious prejudices by providing person 1 and person 2 with different information based on gender and origin.,The algorithm provides different information to protect users due to security concerns.,"The algorithm was programmed to provide optimal results only for a certain user group, leading to discrimination.",b,Unconscious prejudices = algorithmic bias,EA05: -1.28 (easy)
3,Existing LLMs,2,1,14.4,True,1,EA05,"Two people use a voice assistant to search for career opportunities in technology. While person 1 (a young German woman) receives numerous job offers, including management positions and support programs, person 2 (a young man with a non-European background) mainly receives information on entry-level jobs and further training. What ethical dilemma is illustrated by this scenario?",The algorithm has automatically assumed less interest in higher positions based on the origin of person 2.,The algorithm could reproduce unconscious prejudices by providing person 1 and person 2 with different information based on gender and origin.,The algorithm provides different information to protect users due to security concerns.,"The algorithm was programmed to provide optimal results only for a certain user group, leading to discrimination.",b,Unconscious prejudices = algorithmic bias,EA05: -1.28 (easy)
3,Prompt engineering advanced,2,2,14.4,True,1,EA05,"Two people use a voice assistant to search for career opportunities in technology. While person 1 (a young German woman) receives numerous job offers, including management positions and support programs, person 2 (a young man with a non-European background) mainly receives information on entry-level jobs and further training. What ethical dilemma is illustrated by this scenario?",The algorithm has automatically assumed less interest in higher positions based on the origin of person 2.,The algorithm could reproduce unconscious prejudices by providing person 1 and person 2 with different information based on gender and origin.,The algorithm provides different information to protect users due to security concerns.,"The algorithm was programmed to provide optimal results only for a certain user group, leading to discrimination.",b,Unconscious prejudices = algorithmic bias,EA05: -1.28 (easy)
3,"Sustainability (materials, recycling, batteries)",2,2,14.4,True,1,EA05,"Two people use a voice assistant to search for career opportunities in technology. While person 1 (a young German woman) receives numerous job offers, including management positions and support programs, person 2 (a young man with a non-European background) mainly receives information on entry-level jobs and further training. What ethical dilemma is illustrated by this scenario?",The algorithm has automatically assumed less interest in higher positions based on the origin of person 2.,The algorithm could reproduce unconscious prejudices by providing person 1 and person 2 with different information based on gender and origin.,The algorithm provides different information to protect users due to security concerns.,"The algorithm was programmed to provide optimal results only for a certain user group, leading to discrimination.",b,Unconscious prejudices = algorithmic bias,EA05: -1.28 (easy)
